,u,v,r,x0,y0,psi,delta,thrust,beta,U,u1d,v1d,r1d
62.42999999999999,1.183429217297496,0.2205275314108471,-0.07202514009190131,-12.097836309710324,-17.138653094033593,-4.865741611416055,0.2617993877991494,30,-0.1842330980613622,1.2038011066881131,-6.564273851996967e-05,-1.8573944935509424e-05,4.6207095495450076e-06
62.43999999999999,1.1834285643936902,0.2205273466519792,-0.07202509413029974,-12.098211600154173,-17.126622629383327,-4.8664618606844465,0.2617993877991494,30,-0.18423304653703124,1.203800430986911,-6.556678901944596e-05,-1.8552474076699038e-05,4.615364791214502e-06
62.44999999999999,1.1834279121757159,0.2205271620872633,-0.07202504821699161,-12.098578039366263,-17.114591863901854,-4.867182109537669,0.2617993877991494,30,-0.1842329950668268,1.2037997559955045,-6.549091935571008e-05,-1.8531025815631855e-05,4.610025663601378e-06
62.459999999999994,1.1834272606421015,0.22052697771628557,-0.07202500235187351,-12.09893562546414,-17.102560803480017,-4.867902357976615,0.2617993877991494,30,-0.18423294365063508,1.203799081712371,-6.541512935776155e-05,-1.8509600104606936e-05,4.604692154703674e-06
62.46999999999999,1.1834266097913746,0.2205267935386322,-0.07202495653484203,-12.099284356565327,-17.09052945400868,-4.868622606002173,0.2617993877991494,30,-0.1842328922883424,1.2037984081359872,-6.533941885448008e-05,-1.848819689601015e-05,4.59936425268601e-06
62.47999999999999,1.1834259596220635,0.22052660955388934,-0.07202491076579376,-12.09962423078736,-17.078497821378697,-4.869342853615233,0.2617993877991494,30,-0.1842328409798349,1.2037977352648308,-6.526378767488779e-05,-1.8466816142216315e-05,4.594041945530211e-06
62.48999999999999,1.1834253101326961,0.22052642576164322,-0.07202486504462531,-12.09995524624777,-17.066465911480915,-4.870063100816684,0.2617993877991494,30,-0.1842327897249989,1.2037970630973784,-6.518823564791682e-05,-1.8445457795492775e-05,4.588725221276035e-06
62.49999999999999,1.1834246613218002,0.22052624216147998,-0.07202481937123326,-12.100277401064092,-17.054433730206178,-4.870783347607417,0.2617993877991494,30,-0.18423273852372066,1.203796391632107,-6.511276260252212e-05,-1.8424121808318723e-05,4.583414068053523e-06
62.50999999999999,1.1834240131879041,0.2205260587529858,-0.0720247737455142,-12.100590693353857,-17.042401283445354,-4.87150359398832,0.2617993877991494,30,-0.18423268737588636,1.2037957208674943,-6.503736836767686e-05,-1.8402808132954528e-05,4.578108473832403e-06
62.51999999999999,1.1834233657295357,0.22052587553574693,-0.07202472816736474,-12.100895121234597,-17.030368577089288,-4.8722238399602835,0.2617993877991494,30,-0.1842326362813823,1.2037950508020168,-6.496205277235622e-05,-1.8381516721774403e-05,4.572808426652282e-06
62.52999999999999,1.1834227189452229,0.22052569250934947,-0.07202468263668149,-12.101190682823846,-17.01833561702884,-4.872944085524197,0.2617993877991494,30,-0.1842325852400947,1.2037943814341519,-6.48868156454846e-05,-1.8360247527142846e-05,4.567513914628978e-06
62.53999999999999,1.1834220728334934,0.22052550967337964,-0.072024637153361,-12.101477376239135,-17.006302409154834,-4.873664330680952,0.2617993877991494,30,-0.1842325342519098,1.2037937127623761,-6.481165681603213e-05,-1.8339000501415043e-05,4.562224925793196e-06
62.54999999999999,1.1834214273928758,0.2205253270274236,-0.07202459171729991,-12.101755199598,-16.99426895935816,-4.874384575431435,0.2617993877991494,30,-0.18423248331671385,1.2037930447851672,-6.473657611298022e-05,-1.8317775596910594e-05,4.55694144819364e-06
62.55999999999999,1.1834207826218976,0.2205251445710676,-0.07202454632839479,-12.102024151017968,-16.982235273529653,-4.875104819776538,0.2617993877991494,30,-0.1842324324343931,1.203792377501002,-6.466157336527096e-05,-1.829657276604666e-05,4.5516634698910155e-06
62.56999999999999,1.1834201385190868,0.2205249623038977,-0.07202450098654226,-12.102284228616575,-16.970201357560157,-4.87582506371715,0.2617993877991494,30,-0.1842323816048338,1.2037917109083573,-6.458664840188292e-05,-1.8275391961161218e-05,4.5463909789179265e-06
62.57999999999999,1.1834194950829717,0.2205247802255002,-0.07202445569163887,-12.102535430511354,-16.958167217340545,-4.87654530725416,0.2617993877991494,30,-0.18423233082792215,1.2037910450057108,-6.45118010517968e-05,-1.825423313456574e-05,4.5411239633210435e-06
62.58999999999999,1.1834188523120799,0.22052459833546123,-0.07202441044358125,-12.102777754819837,-16.946132858761654,-4.877265550388459,0.2617993877991494,30,-0.18423228010354448,1.2037903797915386,-6.443703114388723e-05,-1.8233096238656248e-05,4.535862411211649e-06
62.59999999999999,1.1834182102049398,0.22052441663336697,-0.07202436524226599,-12.103011199659555,-16.934098287714345,-4.877985793120935,0.2617993877991494,30,-0.1842322294315869,1.2037897152643189,-6.436233850724473e-05,-1.8211981225796066e-05,4.530606310579032e-06
62.60999999999999,1.183417568760079,0.22052423511880362,-0.07202432008758969,-12.103235763148044,-16.92206351008946,-4.878706035452479,0.2617993877991494,30,-0.18423217881193574,1.203789051422528,-6.428772297075952e-05,-1.819088804830158e-05,4.525355649497992e-06
62.61999999999999,1.1834169279760256,0.22052405379135734,-0.07202427497944892,-12.103451443402832,-16.910028531777858,-4.879426277383981,0.2617993877991494,30,-0.1842321282444772,1.2037883882646432,-6.421318436341351e-05,-1.8169816658554026e-05,4.520110416020237e-06
62.62999999999999,1.1834162878513077,0.22052387265061432,-0.07202422991774031,-12.103658238541456,-16.897993358670394,-4.88014651891633,0.2617993877991494,30,-0.18423207772909755,1.2037877257891416,-6.413872251414929e-05,-1.814876700892144e-05,4.514870598243837e-06
62.63999999999999,1.1834156483844531,0.22052369169616076,-0.07202418490236043,-12.103856146681448,-16.885957996657908,-4.880866760050416,0.2617993877991494,30,-0.18423202726568302,1.2037870639945003,-6.406433725197812e-05,-1.8127739051757094e-05,4.509636184134869e-06
62.64999999999999,1.1834150095739897,0.22052351092758282,-0.07202413993320589,-12.104045165940335,-16.873922451631273,-4.881587000787127,0.2617993877991494,30,-0.18423197685411985,1.203786402879196,-6.399002840580752e-05,-1.8106732739412175e-05,4.5044071618016714e-06
62.65999999999999,1.183414371418446,0.2205233303444667,-0.07202409501017328,-12.104225294435656,-16.861886729481327,-4.882307241127355,0.2617993877991494,30,-0.18423192649429423,1.2037857424417064,-6.391579580468731e-05,-1.808574802422883e-05,4.499183519269617e-06
62.66999999999999,1.1834137339163493,0.22052314994639854,-0.07202405013315918,-12.10439653028494,-16.849850836098927,-4.88302748107199,0.2617993877991494,30,-0.18423187618609246,1.203785082680508,-6.384163927748995e-05,-1.8064784858576854e-05,4.493965244633074e-06
62.67999999999999,1.1834130970662282,0.2205229697329646,-0.07202400530206021,-12.104558871605722,-16.837814777374916,-4.883747720621918,0.2617993877991494,30,-0.1842318259294007,1.2037844235940787,-6.376755865328081e-05,-1.804384319481774e-05,4.488752325909842e-06
62.68999999999999,1.1834124608666101,0.22052278970375097,-0.07202396051677294,-12.104712316515535,-16.82577855920016,-4.884467959778033,0.2617993877991494,30,-0.18423177572410526,1.2037837651808945,-6.36935537609593e-05,-1.80229229853283e-05,4.483544751162935e-06
62.69999999999999,1.1834118253160235,0.2205226098583439,-0.072023915777194,-12.104856863131907,-16.813742187465508,-4.885188198541222,0.2617993877991494,30,-0.18423172557009232,1.2037831074394332,-6.361962442954194e-05,-1.8002024182444328e-05,4.478342508426479e-06
62.709999999999994,1.183411190412996,0.22052243019632953,-0.07202387108321995,-12.104992509572373,-16.8017056680618,-4.885908436912375,0.2617993877991494,30,-0.1842316754672481,1.2037824503681716,-6.354577048795289e-05,-1.798114673851793e-05,4.4731455857883514e-06
62.71999999999999,1.183410556156056,0.2205222507172941,-0.0720238264347474,-12.10511925395447,-16.789669006879905,-4.886628674892384,0.2617993877991494,30,-0.1842316254154589,1.2037817939655868,-6.347199176521026e-05,-1.796029060590595e-05,4.467953971290013e-06
62.72999999999999,1.183409922543731,0.2205220714208237,-0.07202378183167296,-12.105237094395726,-16.777632209810676,-4.8873489124821345,0.2617993877991494,30,-0.1842315754146109,1.2037811382301562,-6.339828809025608e-05,-1.7939455737033268e-05,4.4627676529775385e-06
62.73999999999999,1.1834092895745492,0.2205218923065046,-0.07202373727389319,-12.10534602901367,-16.76559528274495,-4.8880691496825195,0.2617993877991494,30,-0.18423152546459035,1.2037804831603562,-6.332465929206183e-05,-1.7918642084151954e-05,4.457586618886861e-06
62.74999999999999,1.1834086572470386,0.22052171337392293,-0.07202369276130471,-12.105446055925842,-16.753558231573585,-4.8887893864944285,0.2617993877991494,30,-0.18423147556528344,1.2037798287546646,-6.325110519962636e-05,-1.789784959972621e-05,4.452410857146325e-06
62.75999999999999,1.183408025559727,0.2205215346226649,-0.07202364829380413,-12.105537173249772,-16.74152106218744,-4.88950962291875,0.2617993877991494,30,-0.1842314257165765,1.2037791750115578,-6.31776256418677e-05,-1.7877078236057686e-05,4.447240355715291e-06
62.76999999999999,1.1834073945111427,0.22052135605231668,-0.072023603871288,-12.10561937910299,-16.729483780477366,-4.890229858956373,0.2617993877991494,30,-0.18423137591835562,1.2037785219295134,-6.31042204478392e-05,-1.7856327945494257e-05,4.442075102699193e-06
62.77999999999999,1.1834067640998136,0.22052117766246446,-0.07202355949365295,-12.105692671603034,-16.717446392334214,-4.890950094608189,0.2617993877991494,30,-0.1842313261705071,1.2037778695070085,-6.303088944646514e-05,-1.7835598680471674e-05,4.436915086132341e-06
62.78999999999999,1.1834061343242674,0.2205209994526944,-0.07202351516079558,-12.105757048867428,-16.705408903648824,-4.891670329875088,0.2617993877991494,30,-0.18423127647291718,1.2037772177425197,-6.295763246672924e-05,-1.7814890393250252e-05,4.431760294098254e-06
62.79999999999999,1.1834055051830323,0.22052082142259272,-0.07202347087261245,-12.105812509013715,-16.693371320312067,-4.892390564757957,0.2617993877991494,30,-0.18423122682547208,1.2037765666345241,-6.288444933758961e-05,-1.7794203036285568e-05,4.426610714627927e-06
62.80999999999999,1.1834048793649035,0.22052064433249935,-0.07202342681861093,-12.105877962062566,-16.68132921215173,-4.89311079763561,0.2617993877991494,30,-0.1842311774399311,1.2037759189656032,-6.281165276875572e-05,-1.777362479763723e-05,4.421488602440233e-06
62.81999999999999,1.1834042553442108,0.22052046775070885,-0.07202338289122646,-12.105942332694422,-16.669285278864145,-4.893831029427963,0.2617993877991494,30,-0.18423112819591442,1.2037752731568203,-6.273906528805152e-05,-1.7753105556872627e-05,4.416381305219611e-06
62.82999999999999,1.1834036320019863,0.2205202913607516,-0.07202333901158792,-12.10599769866453,-16.657241401668763,-4.894551260809692,0.2617993877991494,30,-0.18423107900525842,1.2037746280501693,-6.266655675215832e-05,-1.773260859977252e-05,4.41127955736077e-06
62.83999999999999,1.1834030093377037,0.220520115162479,-0.07202329517965826,-12.106044061856439,-16.645197586484834,-4.895271491781116,0.2617993877991494,30,-0.18423102986792206,1.2037739836451053,-6.259412709979657e-05,-1.771213390905115e-05,4.4061833544654e-06
62.84999999999999,1.1834023873508366,0.2205199391557423,-0.07202325139540049,-12.106081424153706,-16.633153839231625,-4.895991722342556,0.2617993877991494,30,-0.18423098078386416,1.2037733399410837,-6.252177626959813e-05,-1.7691681467401955e-05,4.401092692283125e-06
62.85999999999999,1.1834017660408591,0.2205197633403929,-0.07202320765877755,-12.106109787439879,-16.62111016582839,-4.896711952494329,0.2617993877991494,30,-0.1842309317530435,1.2037726969375602,-6.244950420027876e-05,-1.767125125753024e-05,4.396007566498244e-06
62.86999999999999,1.1834011454072446,0.2205195877162821,-0.07202316396975246,-12.106129153598511,-16.609066572194408,-4.897432182236751,0.2617993877991494,30,-0.18423088277541902,1.2037720546339898,-6.237731083048398e-05,-1.7650843262186623e-05,4.390927972771221e-06
